periode,semarang
1/2/23,27900
1/3/23,27900
1/4/23,28000
1/5/23,28000
1/6/23,28000
1/7/23,27966.66667
1/8/23,27933.33333
1/9/23,27900
1/10/23,27800
1/11/23,27700
1/12/23,27700
1/13/23,27700
1/14/23,27566.66667
1/15/23,27433.33333
1/16/23,27300
1/17/23,27100
1/18/23,26900
1/19/23,26900
1/20/23,26900
1/21/23,26875
1/22/23,26850
1/23/23,26825
1/24/23,26800
1/25/23,26900
1/26/23,26700
1/27/23,26700
1/28/23,26733.33333
1/29/23,26766.66667
1/30/23,26800
1/31/23,26800
2/1/23,26900
2/2/23,26800
2/3/23,26400
2/4/23,26366.66667
2/5/23,26333.33333
2/6/23,26300
2/7/23,26800
2/8/23,26900
2/9/23,27200
2/10/23,27200
2/11/23,27133.33333
2/12/23,27066.66667
2/13/23,27000
2/14/23,27100
2/15/23,27100
2/16/23,26900
2/17/23,26800
2/18/23,26800
2/19/23,26800
2/20/23,26800
2/21/23,26800
2/22/23,26700
2/23/23,26800
2/24/23,26500
2/25/23,26333.33333
2/26/23,26166.66667
2/27/23,26000
2/28/23,26000
3/1/23,26000
3/2/23,26000
3/3/23,25900
3/4/23,26100
3/5/23,26300
3/6/23,26500
3/7/23,26900
3/8/23,27800
3/9/23,28100
3/10/23,28500
3/11/23,28366.66667
3/12/23,28233.33333
3/13/23,28100
3/14/23,29200
3/15/23,29500
3/16/23,30000
3/17/23,30200
3/18/23,30266.66667
3/19/23,30333.33333
3/20/23,30400
3/21/23,30200
3/22/23,30066.66667
3/23/23,29933.33333
3/24/23,29800
3/25/23,29700
3/26/23,29600
3/27/23,29500
3/28/23,29400
3/29/23,29200
3/30/23,29200
3/31/23,29000
4/1/23,28633.33333
4/2/23,28266.66667
4/3/23,27900
4/4/23,27500
4/5/23,27000
4/6/23,27000
4/7/23,26975
4/8/23,26950
4/9/23,26925
4/10/23,26900
4/11/23,26900
4/12/23,27200
4/13/23,27200
4/14/23,27200
4/15/23,27133.33333
4/16/23,27066.66667
4/17/23,27000
4/18/23,27200
4/19/23,27900
4/20/23,27900
4/21/23,28700
4/22/23,28700
4/23/23,28700
4/24/23,28700
4/25/23,28700
4/26/23,28600
4/27/23,28300
4/28/23,28300
4/29/23,28233.33333
4/30/23,28166.66667
5/1/23,28100
5/2/23,28100
5/3/23,28000
5/4/23,28400
5/5/23,29200
5/6/23,29166.66667
5/7/23,29133.33333
5/8/23,29100
5/9/23,29000
5/10/23,29400
5/11/23,30200
5/12/23,30500
5/13/23,30933.33333
5/14/23,31366.66667
5/15/23,31800
5/16/23,31800
5/17/23,31000
5/18/23,30900
5/19/23,30800
5/20/23,30933.33333
5/21/23,31066.66667
5/22/23,31200
5/23/23,31000
5/24/23,30800
5/25/23,31200
5/26/23,31200
5/27/23,31066.66667
5/28/23,30933.33333
5/29/23,30800
5/30/23,30800
5/31/23,30600
6/1/23,30440
6/2/23,30280
6/3/23,30120
6/4/23,29960
6/5/23,29800
6/6/23,30000
6/7/23,30200
6/8/23,30400
6/9/23,30400
6/10/23,30333.33333
6/11/23,30266.66667
6/12/23,30200
6/13/23,30000
6/14/23,29800
6/15/23,29200
6/16/23,29300
6/17/23,29500
6/18/23,29700
6/19/23,29900
6/20/23,29900
6/21/23,29800
6/22/23,29900
6/23/23,30000
6/24/23,30066.66667
6/25/23,30133.33333
6/26/23,30200
6/27/23,30800
6/28/23,30833.33333
6/29/23,30866.66667
6/30/23,30900
7/1/23,30933.33333
7/2/23,30966.66667
7/3/23,31000
7/4/23,31300
7/5/23,31800
7/6/23,31800
7/7/23,31800
7/8/23,31800
7/9/23,31800
7/10/23,31800
7/11/23,31800
7/12/23,31800
7/13/23,31800
7/14/23,31800
7/15/23,31666.66667
7/16/23,31533.33333
7/17/23,31400
7/18/23,31400
7/19/23,31350
7/20/23,31300
7/21/23,30900
7/22/23,30733.33333
7/23/23,30566.66667
7/24/23,30400
7/25/23,30200
7/26/23,30200
7/27/23,30100
7/28/23,30100
7/29/23,30133.33333
7/30/23,30166.66667
7/31/23,30200
8/1/23,30300
8/2/23,30100
8/3/23,30100
8/4/23,30000
8/5/23,29933.33333
8/6/23,29866.66667
8/7/23,29800
8/8/23,29700
8/9/23,29700
8/10/23,29500
8/11/23,29500
8/12/23,29300
8/13/23,29100
8/14/23,28900
8/15/23,28500
8/16/23,28375
8/17/23,28437.5
8/18/23,28500
8/19/23,28300
8/20/23,28100
8/21/23,27900
8/22/23,27900
8/23/23,27700
8/24/23,28000
8/25/23,27800
8/26/23,27666.66667
8/27/23,27533.33333
8/28/23,27400
8/29/23,26800
8/30/23,26700
8/31/23,25900
9/1/23,26300
9/2/23,26733.33333
9/3/23,27166.66667
9/4/23,27600
9/5/23,27800
9/6/23,27800
9/7/23,27700
9/8/23,27300
9/9/23,27166.66667
9/10/23,27033.33333
9/11/23,26900
9/12/23,26800
9/13/23,26000
9/14/23,25900
9/15/23,25900
9/16/23,25866.66667
9/17/23,25833.33333
9/18/23,25800
9/19/23,25800
9/20/23,25700
9/21/23,25500
9/22/23,25800
9/23/23,25666.66667
9/24/23,25533.33333
9/25/23,25400
9/26/23,25400
9/27/23,24900
9/28/23,24800
9/29/23,24700
9/30/23,24866.66667
10/1/23,25033.33333
10/2/23,25200
10/3/23,25200
10/4/23,25900
10/5/23,25860
10/6/23,25820
10/7/23,25780
10/8/23,25740
10/9/23,25700
10/10/23,25400
10/11/23,25100
10/12/23,25100
10/13/23,25100
10/14/23,25100
10/15/23,25100
10/16/23,25100
10/17/23,25200
10/18/23,25600
10/19/23,26000
10/20/23,25900
10/21/23,25833.33333
10/22/23,25766.66667
10/23/23,25700
10/24/23,25600
10/25/23,25800
10/26/23,25700
10/27/23,25800
10/28/23,25733.33333
10/29/23,25666.66667
10/30/23,25600
10/31/23,25600
11/1/23,25400
11/2/23,25200
11/3/23,25200
11/4/23,25800
11/5/23,26400
11/6/23,27000
11/7/23,27800
11/8/23,28300
11/9/23,28200
11/10/23,28200
11/11/23,28033.33333
11/12/23,27866.66667
11/13/23,27700
11/14/23,27800
11/15/23,27500
11/16/23,27100
11/17/23,27400
11/18/23,27400
11/19/23,27400
11/20/23,27400
11/21/23,27400
11/22/23,26900
11/23/23,26800
11/24/23,26800
11/25/23,26800
11/26/23,26800
11/27/23,26800
11/28/23,26900
11/29/23,26900
11/30/23,26800
12/1/23,26800
12/2/23,26800
12/3/23,26800
12/4/23,26800
12/5/23,26800
12/6/23,26700
12/7/23,26600
12/8/23,26600
12/9/23,26566.66667
12/10/23,26533.33333
12/11/23,26500
12/12/23,26500
12/13/23,26700
12/14/23,26700
12/15/23,26700
12/16/23,26666.66667
12/17/23,26633.33333
12/18/23,26600
12/19/23,26600
12/20/23,26700
12/21/23,26700
12/22/23,26700
12/23/23,26720
12/24/23,26740
12/25/23,26760
12/26/23,26780
12/27/23,26800
12/28/23,26700
12/29/23,26700
12/30/23,23572.07194
12/31/23,23572.07194
